,Common Drugs
945,Fole 400mg Tablet
946,Fexit Cream
947,Forfora Cream
948,Fertova 25mg Tablet
949,Famodin 40mg Tablet
950,Fluanxol 1mg Tablet
951,Fervay 500mg Tablet
952,Flucona 150mg Tablet
953,Flucan 100mg Capsule
954,Formost 200 Inhaler
955,Flutec Cream
956,Fexert 180mg Tablet
957,Fexidine 120mg Tablet
958,Flumet Dusting Powder
959,Finastat 5mg Tablet
960,Febuxia 40mg Tablet
961,Ferri 50mg Injection
962,Flavix 75mg Tablet
963,Fexodine 180mg Tablet
964,Flugraine 10mg Tablet
965,Finabald 2.5mg Tablet
966,Forson 500mg Tablet
967,Fenocard 20mg Tablet
968,Flocetam 800mg Tablet
969,Folitrax 7.5mg Injection
970,Fineset 1mg Tablet
971,Flavostat Tablet
972,Fexodin 180mg Tablet
973,Fertilin 50mg Tablet
974,Flutide 250mg Tablet
975,Flamheal Forte Tablet
976,Flutistar Cream
977,Flucan 50mg Capsule
978,Flemiklox Lbx Capsule
979,Falcon 200mg Tablet
980,Fosbait 250mg Tablet
981,Fabulon 40mg Tablet
982,Faxicad 200mg Tablet
983,Flucostat 150mg Tablet
984,Fibrogesic Ala Capsule
985,Femella 20mg Tablet
986,Flusaf M 10mg Tablet
987,Finabald 5mg Tablet
988,F Tin 10mg Tablet
989,Fine 5mg Tablet
990,Fluconge 150mg Tablet
991,Flood 20mg Capsule
992,Febumin 40mg Tablet
993,Flucid 150mg Tablet
994,Flucoric 150mg Tablet
995,Flucoric 150mg Tablet
996,Fenofibric 35mg Tablet
997,Fincover 1mg Tablet
998,Fertova 50mg Tablet
999,Fazim 50mg Capsule
1000,Febugal 40mg Tablet
1001,Fluzone Lotion
1002,Formin 500mg Tablet
1003,Finrest 5mg Tablet
1004,Fetugard 5mg Tablet
1005,Fulflo 10mg Tablet
1006,Flucona 150mg Tablet
1007,Fluvo 50mg Tablet
1008,Fexim O 200mg Tablet
1009,Flamar P Tablet
1010,Far 20mg Tablet
1011,Flox O 200mg Tablet
1012,Fintross 1mg Tablet
1013,Fenobate 200mg Capsule
1014,Fual 10mg Tablet
1015,Fenixa M Tablet
1016,Fenocor 35mg Tablet
1017,Flair 150mg Tablet
1018,Fluvo 100mg Tablet
1019,Fluvert 10mg Tablet
1020,Fluoxee 20mg Capsule
1021,Farozet 200mg Tablet
1022,Floxin 60mg Tablet
1023,Fex 180mg Tablet
1024,Fluent 150mg Tablet
1025,Fluconex 150mg Tablet
1026,Formost 400 Inhaler
1027,Flunaris 10mg Tablet
1028,Fexit B Cream
1029,Flury 5mg Tablet
1030,Flutin 20mg Capsule
1031,Fenostat Capsule
1032,Flevo 500mg Tablet
1033,Flocetam 400mg Tablet
1034,Fibrofen 160mg Tablet
1035,Flavestin 250mg Tablet
1036,Fabitax O 200mg Tablet
1037,Flunarest 5mg Tablet
1038,Fluty 150mg Tablet
1039,Fabulon 80mg Tablet
1040,Flustate 150mg Tablet
1041,Febucare 80mg Tablet
1042,Fitin 5mg Tablet
1043,Flocin 500mg Tablet
1044,Febufix 40mg Tablet
1045,Febuzex 40mg Tablet
1046,Fertex 50mg Tablet
1047,Flucide 150mg Tablet
1048,Fluhex Tablet
1049,Fadine 20mg Tablet
1050,Flood 10mg Capsule
1051,Fenak 50mg Tablet
1052,Flow 200mg Tablet
1053,Fastcort 6mg Tablet
1054,Filcad 300mcg Injection
1055,Fibroban 5mg Infusion
1056,Flutine 60mg Capsule
1057,Flumed 150mg Tablet
1058,Fluvoxin 25mg Tablet
1059,Fexidine 180mg Tablet
1060,Fexocon 120mg Tablet
1061,Fenadin 180mg Tablet
1062,Fineheal Tablet
1063,Fetugest 250mg Injection
1064,Fudart 500mg Tablet
1065,Fedic B Cream
1066,Fluzole 150mg Tablet
1067,Fendex 200mg Tablet
1068,Fcz 150mg Capsule
1069,Flusyst 150mg Tablet
1070,Flovin 150mg Tablet
1071,Flolev 500mg Tablet
1072,Fine 1mg Tablet
1073,Forsemer 800mg Tablet
1074,Flunise 150mg Tablet
1075,Flunise 150mg Tablet
1076,Ferton 50mg Tablet
1077,Fixim 200mg Tablet
1078,Febutac 40mg Tablet
1079,Floramin 10mg Tablet
1080,Floramin 10mg Tablet
1081,Fbx 40mg Tablet
1082,Febucad 40mg Tablet
1083,Finara 5mg Tablet
1084,Folmine 5mg Tablet
1085,Febutac 80mg Tablet
1086,Flucaz 150mg Tablet
1087,Floxa 500mg Tablet
1088,Fextric 120mg Tablet
1089,Flucina 150mg Tablet
1090,Fenodac 135mg Capsule
1091,Flozastar 6mg Tablet
1092,Fubra 80mg Tablet
1093,Fluderm 150mg Tablet
1094,Fitcan 150mg Tablet
1095,Finazole 200mg Tablet
1096,Flubit 150mg Tablet
1097,Fomtaz Disk Inhaler
1098,Forcalm Tablet
1099,Fovas 10mg Tablet
1100,Flury 10mg Tablet
1101,Flospurt 8mg Capsule
1102,Flutican 200mg Tablet
1103,Febuwel 40mg Tablet
1104,Flazicort 6mg Tablet
1105,Fexotrol 120mg Tablet
1106,Fluproxy 100mg Capsule
1107,Felini Spray
1108,Fin 50mg Tablet
1109,Fibrogesic Injection
1110,Freshe Plus Tablet
1111,Flolact 200mg Tablet
1112,Fluderm G Cream
1113,Flunipar 10mg Tablet
1114,Febucad 80mg Tablet
1115,Flozacort 6mg Tablet
1116,Flecon 150mg Tablet
1117,Fliptor 10mg Tablet
1118,Fludep 10mg Capsule
1119,Fectiboon 500mg Tablet
1120,Fenacor 200mg Capsule
1121,Fliptor 20mg Tablet
1122,Foschek 500mg Tablet
1123,Flow 200mg Tablet
1124,Flexiglim 1mg Tablet
1125,Feliz 20mg Tablet
1126,Favros 5mg Tablet
1127,Fenbest 100mg Tablet
1128,Fextral 120mg Tablet
1129,Fluol B Cream
1130,Flucom 150mg Tablet
1131,Flunipar 5mg Tablet
1132,Flakefree Shampoo
1133,Fenom 50mg Tablet
1134,Fliptor 40mg Tablet
1135,Fisone F Cream
1136,Flocy 250mg Tablet
1137,Fenzone Forte Tablet
1138,Flexigesic Tablet
1139,Febuloric 40mg Tablet
1140,Fluol Cream
1141,Fixital 100mg Tablet
1142,Fluderm 150mg Tablet
1143,Fabulas 120mg Tablet
1144,Flexiglim 2mg Tablet
1145,Flospurt 4mg Capsule
1146,Fabizol 150mg Tablet
1147,Fexotive 180mg Tablet
1148,Floxicure 200mg Tablet
1149,Foegard 5mg Tablet
1150,Febutroy 40mg Tablet
1151,Fenobate 160mg Capsule
1152,Feblast 40mg Tablet
1153,Fin 250mg Tablet
1154,Fexo 180mg Tablet
1155,Fetucare 5mg Tablet
1156,Finobrate 145mg Tablet
1157,Fluzin 10mg Tablet
1158,Feliz S Plus Tablet
1159,Fexofast 180mg Tablet
1160,Fosend 500mg Tablet
1161,Feburoz 40mg Tablet
1162,Febuzex 80mg Tablet
1163,Finestop 5mg Tablet
1164,Febuxot 40mg Tablet
1165,Febuxot 80mg Tablet
1166,Fluna 150mg Tablet
1167,Febuxot 80mg Tablet
1168,Febuxot 40mg Tablet
